name,categories,Small Category,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,postalCode,state,id,Cluster Labels
Love's Country Store,Gas Station,Retail,301 E Olive,US,Lamar,United States,,444,"['301 E Olive', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.0885087, 'lng': -102.6163343}]",38.0885087,-102.6163343,81052,CO,4fe4ff27d5fba184e031a8d6,4
Loaf 'N Jug,Gas Station,Retail,300 N Main St,US,Lamar,United States,,851,"['300 N Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.09262806596272, 'lng': -102.61925800396618}]",38.09262807,-102.619258,81052,CO,4deede0dae609ae4fa3bc880,2
Main Street Shoppe,Gift Shop,Retail,106 S Main St,US,Lamar,United States,,384,"['106 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088391958386836, 'lng': -102.61943179801017}]",38.08839196,-102.6194318,81052,CO,517c17ade4b0e711fefcc051,4
Lamar Chamber Of Commerce,Government Building,Government,,US,Lamar,United States,,523,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.089686, 'lng': -102.61847}]",38.089686,-102.61847,81052,CO,59cad3f2db1d8140de109af9,2
Safeway,Grocery Store,Retail,906 E Olive St,US,Lamar,United States,,976,"['906 E Olive St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.0874377, 'lng': -102.6080211}]",38.0874377,-102.6080211,81052,CO,4bf2f0c26a31d13aeb15942e,0
Lamar Building. Material Supply,Hardware Store,Retail,224 N Main St,US,Lamar,United States,,761,"['224 N Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.09182635193943, 'lng': -102.61902093887329}]",38.09182635,-102.6190209,81052,CO,4fee0a24f31cbd261818c525,2
Marples Country Market,Health Food Store,Retail,101 N 4th St,US,Lamar,United States,Hickory,598,"['101 N 4th St (Hickory)', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.09033845319945, 'lng': -102.61805827154873}]",38.09033845,-102.6180583,81052,CO,5144a7cfe4b0dba1abf45a41,2
Lefferdink Law Office,Lawyer,Service,409 S Main St,US,Lamar,United States,,395,"['409 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088522, 'lng': -102.618252}]",38.088522,-102.618252,81052,CO,5033d771e4b05a5f620bd34d,4
Lamar Public Library,Library,Government,102 E Parmenter St,US,Lamar,United States,,43,"['102 E Parmenter St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08490368653267, 'lng': -102.61823766999868}]",38.08490369,-102.6182377,81052,CO,4dac75f24df01c19b1b4ddba,4
DeLoach's Water,Library,Service,103 S 2nd St,US,Lamar,United States,,502,"['103 S 2nd St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.0886206, 'lng': -102.6153122}]",38.0886206,-102.6153122,81052,CO,4ced91fe821254810cd65fa1,0
Coronica's Liquor Store,Liquor Store,Retail,,US,Lamar,United States,,582,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.09021938149136, 'lng': -102.61872541093892}]",38.09021938,-102.6187254,81052,CO,4fd4f903e4b05a4abb0bf4c8,2
Corner Liquor,Liquor Store,Retail,,US,Lamar,United States,,804,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.077773, 'lng': -102.618175}]",38.077773,-102.618175,,CO,515f7ca3e4b081b1c446ed2a,1
J & N Shoes,Market,Retail,,US,Lamar,United States,,498,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08944998094519, 'lng': -102.61920754767966}]",38.08944998,-102.6192075,81052,CO,5111819ce4b06e49556b6473,2
Las Brisas Mexican Restaurant,Mexican Restaurant,Restaurant,301-399 S Main St,US,Lamar,United States,,236,"['301-399 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08705687398643, 'lng': -102.61934770408536}]",38.08705687,-102.6193477,81052,CO,4db1c3fb0cb6442b2ed0c4d6,4
Brisas,Mexican Restaurant,Restaurant,,US,Lamar,United States,,255,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.087188720703125, 'lng': -102.61955261230469}]",38.08718872,-102.6195526,81052,CO,4ed6a30a9911b345bd303421,4
Lucy's Tacos # 2,Mexican Restaurant,Restaurant,,US,Lamar,United States,,797,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.077818, 'lng': -102.618729}]",38.077818,-102.618729,,CO,553838aa498e3e5e07665c92,1
Lamar Middle School,Middle School,Education,104 Park,US,Lamar,United States,,204,"['104 Park', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08327830407507, 'lng': -102.61957756095777}]",38.0832783,-102.6195776,81052,CO,4dc1d7f57d8b686fa4700cfe,4
Verizon,Mobile Phone Shop,Retail,,US,Lamar,United States,,351,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.088142, 'lng': -102.618947}]",38.088142,-102.618947,,CO,51c8afce498ed8aaf8f37b27,4
Madonna of the Trail,Monument / Landmark,Government,East Beech St & South Main St,US,Lamar,United States,,485,"['East Beech St & South Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08934382048351, 'lng': -102.61893510818481}]",38.08934382,-102.6189351,81052,CO,50077130f1369ba7bca37fe8,4
Holiday Motel,Motel,Hotel,404 N Main St,US,Lamar,United States,,982,"['404 N Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.09380187, 'lng': -102.61931181}]",38.09380187,-102.6193118,81052,CO,4de6c9bc18381a514be7c8fa,2
